title,url
"새해경제 1%대 저성장 '혹한' 온다…""위기관리·구조개혁해야""",https://www.yna.co.kr/view/AKR20230101027300002?input=1195m
"이복현 금감원장 “새해 감독정책, 금융시스템 안정 제고에 중점”",https://biz.chosun.com/stock/finance/2023/01/01/SXZ4V5CSAJBDXPNKTI72JRCTRQ/?utm_source=naver&utm_medium=original&utm_campaign=biz
지난해 무역적자 472억달러…금융위기 이후 14년만에 연간적자,http://www.inews24.com/view/1554366
"이복현 금감원장 ""선제적 대응으로 금융시스템 안정 유지할 것""[신년사]",https://www.hankyung.com/finance/article/2022123025906
"사상 최대 무역적자에 흔들 韓 경제회복, 수출에 달렸다",https://www.mk.co.kr/article/10589086
"금융당국 수장 ""금융시장 불확실성 높아..시장 안정 최우선""",http://www.fnnews.com/news/202301010704121383
새해 밝아도 경제는 어둡다,https://www.busan.com/view/busan/view.php?code=2023010117461317578
MZ세대의 첫 경제위기… ‘○○푸어’ 슬픈 신조어 습격,https://www.seoul.co.kr/news/newsView.php?id=20230102002005&wlog_tag3=naver
"""지혜로 복합위기 극복""…금융권 토끼띠 CEO 살펴보니",https://www.news1.kr/articles/4911167
[최악의 경제지표 해법은] 계묘년도 `3高 초려`,http://www.dt.co.kr/contents.html?article_no=2023010202100363056001&ref=naver
"경제계와 스킨십 강화한 尹 ""대기업·중기 상생으로 위기 극복""",http://www.edaily.co.kr/news/newspath.asp?newsid=03739206635473784
"금융 CEO들, 한 목소리로 ""경제 위기·빙하기 온다""(종합)",https://www.yna.co.kr/view/AKR20230102054251002?input=1195m
"IMF 총재 ""2023년, 중국발 글로벌 경제위기 온다""",https://zdnet.co.kr/view/?no=20230102080546
"유재훈 예보 사장 ""사전 위기대응 강화할 것…'금융안정계정' 도입에 속도""",https://www.news1.kr/articles/4912430
"손태승 우리금융 회장 ""상반기 내실집중…M&A는 속도""",http://news.bizwatch.co.kr/article/finance/2023/01/02/0007
"서병기 IBK證 대표 ""조직 채질개선으로 위기 극복""",https://view.asiae.co.kr/article/2023010211294012276
"[신년사] 김원규 이베스트證 대표 ""위기 속 재도약 발판 만들자""",http://moneys.mt.co.kr/news/mwView.php?no=2023010209275744765
"경제계 만난 尹 ""세제·금융 지원, 규제 합리화"" 약속",http://news.tf.co.kr/read/ptoday/1989987.htm
[IMF 25년②]제2 외환위기 가능성은,http://www.newsis.com/view/?id=NISX20221230_0002143153&cID=15001&pID=15000
"금융권 수장들 한목소리 ""올해 진짜 위기…리스크 관리""",http://www.m-i.kr/news/articleView.html?idxno=976704
"금융권 ""위기를 도약의 기회로 만들자""",https://www.hankyung.com/economy/article/2023010395161
금융권 수장 한 자리에…범금융 신년인사회 개최,http://www.newsis.com/view/?id=NISX20230103_0002146237&cID=15001&pID=15000
"금융정책 수장들 ""불확실성 큰 한해, 최우선 과제는 시장 안정""",https://www.yna.co.kr/view/AKR20230103080300002?input=1195m
"이복현 ""건전성·금융지원·내부통제 신경써달라""",http://www.fnnews.com/news/202301031310215685
"김주현 금융위원장 ""부동산 시장 연착륙 유도""",https://zdnet.co.kr/view/?no=20230103133106
"""거시·금융 'F4' 원팀 정신으로 '위기극복' 앞장서겠다""",https://www.news1.kr/articles/4914176
"4대 금융 기관장 “경제 위기 진행중, 금융지원 총력”",http://news.heraldcorp.com/view.php?ud=20230103000542
3년만에 모인 범금융인…추경호 “540兆 정책금융으로 위기극복 지원”,http://www.edaily.co.kr/news/newspath.asp?newsid=03083206635474112
"""위기 극복 한마음""…경제·금융 수장 2023년 주요 과제는?(영상)",http://news.tf.co.kr/read/economy/1990257.htm
"中企 찾은 김성태 기업은행장 ""정책금융 역할다해 위기극복""",https://www.mk.co.kr/article/10591922
"박승원 광명시장 ""위기에 강한 회복력 있는 도시 만들 것""",http://news.mt.co.kr/mtview.php?no=2023010417061311256
[격랑의 韓 경제 어디로⑤]'상저하고' 들어맞을까…회복 기미는 언제?,http://www.newsis.com/view/?id=NISX20230103_0002146931&cID=10401&pID=10400
"김제시, 소상공인에 이차보전 지원…""금융난 해소""",https://www.news1.kr/articles/4915003
"[韓 경제 생존코드] ④ 유통업계, '신규먹거리'로 불황파고 넘는다",http://www.inews24.com/view/1551838
금융권 연이은 위기 경고…도화선은 '대출',http://news.bizwatch.co.kr/article/finance/2023/01/03/0026
